name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock,income,roe
(주)피델릭스,32580,Dec-17,,,,,,,72,,,,1995,,
(주)피델릭스,32580,Dec-18,,,,,,,70,,,,1740,,
(주)피델릭스,32580,Dec-19,,,,,,,70,,,,1605,,
(주)피델릭스,32580,Dec-20,,,,,,,70,,,,1305,,
(주)피에스엠씨,24850,Dec-10,83769740,59810709,137547465,9878622,66956644,156722164,261,17436000,70590821,3296176,1785,2788338,5.25
(주)피에스엠씨,24850,Dec-11,64504724,54171897,115604522,-8586654,58121177,144450852,684,17914000,57483346,-22396323,550,-16012318,-34.99
(주)피에스엠씨,24850,Dec-12,39756252,23015852,70083412,-11247672,27894146,94935142,394,17914000,42189266,-3241020,340,1900267,-3.04
(주)피에스엠씨,24850,Dec-13,38129818,21853107,66076321,-15336744,27125880,95513633,386,18914000,38950441,-4538884,510,1560391,-11.19
(주)피에스엠씨,24850,Dec-14,36365528,20882232,62555260,-19985208,27854928,80554105,385,18914000,34700332,-4631440,332,-2305748,-12.58
(주)피에스엠씨,24850,Dec-15,27810797,17533409,47727878,-31141617,23071703,50008723,313,19363101,24656175,-11750644,673,-8798475,-39.59
(주)피에스엠씨,24850,Dec-16,24674518,15193637,40933195,-33882175,18670963,40854586,256,19363101,22262232,-3272784,735,-8574292,-13.95
(주)피에스엠씨,24850,Mar-18,23012310,13317073,36351520,-35102677,16666176,50019817,275,19363101,19685344,598730,744,1101864,3.06
(주)피에스엠씨,24850,Mar-19,20936231,10444590,33172600,-36490117,14188332,43799035,254,19363101,18984268,-864141,831,-1991508,-4.47
(주)피에스엠씨,24850,Mar-20,23774970,11015685,35531818,-36739780,15120492,38026597,230,20008262,20411326,95618,706,-909442,0.49
(주)피피아이,62970,Dec-10,,,,,,,,,,,,,
(주)피피아이,62970,Dec-11,,,,,,,,,,,,,
(주)피피아이,62970,Dec-12,,,,,,,,,,,,,
(주)피피아이,62970,Dec-13,,,,,,,,,,,,,
(주)피피아이,62970,Dec-14,,,,,,,,,,,,,
(주)피피아이,62970,Dec-15,,,,,,,,,,,,,
(주)피피아이,62970,Dec-16,,,,,,,,,,,,,
(주)피피아이,62970,Dec-17,,,,,,,,,,,,,
(주)피피아이,62970,Dec-18,,,,,,,,,,,,,
(주)피피아이,62970,Dec-19,,,,,,,199,,,,9710,,
(주)피피아이,62970,Dec-20,,,,,,,148,,,,6630,,
(주)픽셀플러스,87600,Dec-10,,,,,,,,,,,,,
(주)픽셀플러스,87600,Dec-11,,,,,,,,,,,,,
(주)픽셀플러스,87600,Dec-12,49723988,9032769,55005666,41406978,9089230,97993134,,3883279,45916436,32629444,,,142.13
(주)픽셀플러스,87600,Dec-13,95800552,17992232,102511255,79291097,18710700,149409029,,3883279,83800555,37925145,,46419383,58.47
(주)픽셀플러스,87600,Dec-14,101464237,10490802,111640702,96578441,10552802,123936525,,3883279,101087899,19958176,,21792538,21.59
(주)픽셀플러스,87600,Dec-15,113845727,5943136,126027042,106845873,6051286,106214922,125,4083279,119975756,11390724,17900,9277432,10.4
